,Date,Open,High,Low,Close,Adj Close,Volume,ma7,ma21,ema,26ema,12ema,MACD,momentum,20sd,upper_band,lower_band,RSI,HT_DCPERIOD,HT_DCPHASE,HT_TRENDMODE,ATR,NATR,TRANGE,DEMA,HT_TRENDLINE,KAMA,MIDPOINT,MIDPRICE,SAR,SMA10,T3,TRIMA,WMA,ADX14,ADX20,ADXR,APO,AROONOSC,BOP,CCI3,CCI5,CCI10,CCI14,CMO,DX,MINUS_DI,MINUS_DM,MOM3,MOM5,MOM10,PLUS_DI,PLUS_DM,PPO,ROC,ROCP,ROCR,ROCR100,RSI5,RSI10,RSI14,TRIX,ULTOSC,WILLR,MKTCP,AVBLS,TOUTV,TRFUS,CPTRA,TRVOU,MKPRU,HRATE,DIFF,MIREV,daily_return
0,2010/10/12,0.0949,0.105,0.092,0.105,0.105,4558,0.091292857,0.071689524,0.1016087,0.0747961,0.08414417,0.00934807,-0.895,0.015899831,0.103489185,0.039889863,89.97670921,15.98693889,152.7296578,1,0.014414086,13.7277013,0.013,0.082067843,0.072095357,0.088843147,0.083055,0.07005,0.175,0.082456,0.079492335,0.0647545,0.074094043,43.84751067,40.99261417,51.76748459,0.009071346,14.28571429,0.776923077,99.74489796,68.88519554,80.78419229,108.516644,79.95341842,7.66002779,23.85588532,0.048127199,0.0085,0.01815,0.04389,27.81379737,0.056111947,12.98668047,71.82130584,0.718213058,1.718213058,171.8213058,95.05710301,93.10593251,89.97670921,0.143718275,67.34439011,-20.89925062,419532.3,0.000665891,108997.45,0,2.193905817,2558.556,0.099,0.010960344,1378.028165,792,-0.028571429
1,2010/10/13,0.105,0.1045,0.065,0.102,0.102,3701,0.096292857,0.073579524,0.101869567,0.076813183,0.086891221,0.010078038,-0.898,0.017037774,0.107655072,0.039503976,83.44416282,17.28052376,154.6479654,1,0.016241652,15.92318787,0.04,0.085078299,0.073542582,0.091453429,0.083055,0.07005,0.175,0.086526,0.083177423,0.065781042,0.076245828,41.84562993,39.27810992,51.03256375,0.010877756,14.28571429,-0.075949367,-61.66077739,-95.31747069,32.73201868,55.86447319,66.88832565,15.82118028,31.53527011,0.071689542,0.007,0.0082,0.0407,22.91983047,0.05210395,15.22896441,66.39477977,0.663947798,1.663947798,166.3947798,81.96107157,84.90843962,83.44416282,0.203016642,70.75030706,-23.39716903,403384.25,0.000643567,95713.93,0,2.293571429,3432.92,0.095,0.011576864,1378.028165,802.75,0.029411765
2,2010/10/14,0.102,0.119,0.092,0.105,0.105,2554,0.098885714,0.075617619,0.103956522,0.078902995,0.089677188,0.010774193,-0.895,0.018104637,0.111826893,0.039408346,84.6447507,18.8041531,158.2532584,1,0.017010105,16.20010008,0.027,0.088157884,0.074942387,0.094572694,0.083055,0.07005,0.175,0.090886,0.086685202,0.0669875,0.078505118,39.06007685,37.463024,49.79304889,0.012908333,14.28571429,0.111111111,78,115.5261221,85.19684427,97.31482236,69.28950139,2.84788678,27.95914223,0.06656886,0.0101,0.0085,0.0436,26.41074928,0.06288224,17.66933589,71.00977199,0.71009772,1.71009772,171.009772,84.61121552,86.25325047,84.6447507,0.266284872,62.5121497,-20.89925062,446853.75,0.000766228,157733.04,0.03675,2.680851064,5152.77,0.105,0.013152413,1378.028165,1008,-0.038095238
3,2010/10/15,0.105,0.103,0.1,0.101,0.101,633,0.099914286,0.07747381,0.101985507,0.080541188,0.091419159,0.010877971,-0.899,0.018577752,0.114629314,0.040318305,76.66210314,20.1033375,159.8053632,1,0.01615224,15.99231726,0.005,0.090423544,0.075948987,0.095680081,0.083055,0.07005,0.175,0.094705,0.089761197,0.068350333,0.08041043,36.47349184,35.73869239,48.60350431,0.014720513,14.28571429,-1.333333333,26.62337662,41.7905517,62.79603181,71.9673251,53.32420627,2.84788678,27.34081431,0.061813942,-0.004,0.006,0.03819,25.82666471,0.058390651,19.74551977,60.80242,0.6080242,1.6080242,160.80242,67.96877782,76.19444117,76.66210314,0.330080504,62.99673319,-24.22980849,507535,0.000489338,145488.96,0,3.305555556,2436.406,0.119,0.012672898,1378.028165,1100.75,0.00990099
4,2010/10/16,0.101,0.1045,0.1,0.102,0.102,1857,0.1007,0.079378571,0.101995169,0.082131969,0.093046981,0.010915012,-0.898,0.018897203,0.117172978,0.041584165,77.23999161,20.7512626,166.9340333,1,0.015319938,15.01954661,0.0045,0.092575184,0.077205048,0.097024799,0.08315,0.07005,0.175,0.098205,0.092365066,0.069882042,0.082296172,33.97424815,34.15049837,47.4720079,0.016590385,14.28571429,0.222222222,-32.55813953,38.01169591,62.38965068,67.6997501,54.47998323,1.484080141,26.76706399,0.05739866,0,0.0071,0.035,25.98419306,0.05571989,21.81090975,52.23880597,0.52238806,1.52238806,152.238806,69.8236168,76.94140812,77.23999161,0.393658089,68.8854779,-23.39716903,466187.55,0.000567895,228684.56,0,3.161529126,592.633,0.109,0.016372014,1378.028165,1302.55,0.003921569
5,2010/10/17,0.102,0.103,0.097,0.1024,0.1024,2591,0.101757143,0.081292857,0.102265056,0.083634389,0.094485907,0.010851519,-0.8976,0.018998451,0.119289759,0.043295955,77.48020184,21.15550091,174.3623401,1,0.014654228,14.31076926,0.006,0.094547325,0.078730614,0.098143049,0.0832,0.07005,0.175,0.09976,0.094525633,0.071575792,0.084115247,31.84892002,32.53147578,46.55673058,0.018343397,14.28571429,0.066666667,-86.36363636,13.52927455,35.53592609,57.09877842,54.96040367,4.219654387,27.44665235,0.056298756,-0.0026,-0.0026,0.01555,25.22412748,0.051739898,23.63511871,17.90443293,0.179044329,1.179044329,117.9044329,70.67274663,77.25855363,77.48020184,0.45612083,71.97757534,-23.06411324,448414.725,0.000463607,165836.54,0,3.038041237,2536.842,0.1045,0.019317607,1378.028165,1473.45,-0.052734375
6,2010/10/18,0.1024,0.1019,0.097,0.097,0.097,623,0.102057143,0.082964286,0.098755019,0.084625096,0.094872691,0.010247595,-0.903,0.018636814,0.120237914,0.045690658,67.1731752,21.49567886,182.3535963,1,0.013993211,14.42599119,0.0054,0.095631594,0.080325091,0.097985605,0.083905,0.07005,0.175,0.10008,0.096086347,0.073417833,0.085496903,29.87540105,30.99340433,45.72565966,0.019509167,14.28571429,-1.102040816,-100,-120.0317965,-6.466963943,42.74528331,34.34635039,4.219654387,26.68996406,0.052277416,-0.004,-0.005,0.0032,24.52871291,0.048044191,24.71235248,3.411513859,0.034115139,1.034115139,103.4115139,47.91880379,64.04543774,67.1731752,0.51430566,69.1988708,-27.56036636,443322.3,0.000598385,204295.32,0.00206,2.599903288,1003.941,0.103,0.017879062,1378.028165,1344.15,0.020618557
7,2010/10/19,0.097,0.103,0.094,0.099,0.099,3221,0.1012,0.084730476,0.09891834,0.085690562,0.095507662,0.009817099,-0.901,0.018159808,0.121050092,0.04841086,68.82719049,21.81065275,190.462075,1,0.013636553,13.77429646,0.009,0.096835905,0.082023182,0.098138048,0.086,0.07005,0.175,0.10033,0.09717261,0.075422375,0.086933828,28.25629677,29.47204473,45.18847945,0.019106282,14.28571429,0.222222222,-48.8372093,-82.50166334,0.519008693,36.97849407,37.65438097,7.207941125,27.0032016,0.051543315,-0.003,-0.006,0.0025,23.37217418,0.044612463,23.77574739,2.590673575,0.025906736,1.025906736,102.5906736,54.67481724,66.40955063,68.82719049,0.568778037,66.01107153,-25.89508743,441984,0.001203411,269644.67,0,1.290622407,2060.5952,0.1024,0.016646023,1378.028165,1244.16,0.080808081
8,2010/10/20,0.099,0.109,0.097,0.107,0.107,4616,0.101914286,0.086878095,0.104306113,0.087269944,0.097275714,0.01000577,-0.893,0.017828858,0.122535812,0.051220378,74.38653567,22.15146684,194.1145994,1,0.013519657,12.63519329,0.012,0.098897802,0.083434427,0.099663815,0.096925,0.07005,0.175,0.10153,0.098200649,0.077613958,0.088807527,26.27065724,28.20194175,43.30304987,0.018476282,14.28571429,0.666666667,100,122.0791607,90.65085834,79.12170581,48.77307133,0.457343299,25.29092636,0.04786165,0.0046,0.006,0.012,25.06064681,0.047425859,22.50724264,12.63157895,0.126315789,1.126315789,112.6315789,72.50692988,74.00592087,74.38653567,0.622491025,58.95358112,-19.23397169,445778.85,0.000953189,243234.45,0,1.738961039,3507.15,0.103,0.016029503,1378.028165,1205.1,-0.042056075
9,2010/10/21,0.107,0.109,0.1015,0.1025,0.1025,3665,0.101557143,0.088808095,0.103102038,0.088398695,0.09807945,0.009680756,-0.8975,0.016932643,0.122673381,0.05494281,67.13388613,22.58772224,201.0740529,1,0.013089681,12.77042081,0.0075,0.100174038,0.084939796,0.100045541,0.1004,0.09755,0.175,0.10229,0.099104143,0.079952792,0.090295527,24.4268491,26.99534392,40.32478013,0.01741859,14.28571429,-0.6,50,83.33333333,85.59612984,88.40511208,34.26777225,0.457343299,24.25569654,0.04444296,0.0055,0.0005,0.0076,24.034843,0.044038297,20.82365834,8.008429926,0.080084299,1.080084299,108.0084299,56.7956703,64.84116064,67.13388613,0.672655059,53.70811501,-42.39631336,473016.4,0.000772005,200194.2378,0.00084651,2.109385382,4883.963,0.109,0.02489103,2149.021815,1269.85,0.029268293
