,Date,High,Low,Open,Close,Volume,Adj Close,ma7,ma21,ema,26ema,12ema,MACD,momentum,20sd,upper_band,lower_band,RSI,HT_DCPERIOD,HT_DCPHASE,HT_TRENDMODE,ATR,NATR,TRANGE,DEMA,HT_TRENDLINE,KAMA,MIDPOINT,MIDPRICE,SAR,SMA10,T3,TRIMA,WMA,ADX14,ADX20,ADXR,APO,AROONOSC,BOP,CCI3,CCI5,CCI10,CCI14,CMO,DX,MINUS_DI,MINUS_DM,MOM3,MOM5,MOM10,PLUS_DI,PLUS_DM,PPO,ROC,ROCP,ROCR,ROCR100,RSI5,RSI10,RSI14,TRIX,ULTOSC,WILLR,CDL2CROWS,CDL3BLACKCROWS,CDL3INSIDE,CDL3LINESTRIKE,CDL3OUTSIDE,CDL3STARSINSOUTH ,CDL3WHITESOLDIERS,CDLABANDONEDBABY,CDLADVANCEBLOCK,CDLBELTHOLD,CDLBREAKAWAY,CDLCLOSINGMARUBOZU,CDLCONCEALBABYSWALL,CDLCOUNTERATTACK,CDLDARKCLOUDCOVER,CDLDOJI,CDLDOJISTAR,CDLDRAGONFLYDOJI,CDLENGULFING,CDLEVENINGDOJISTAR,CDLEVENINGSTAR,CDLGAPSIDESIDEWHITE,CDLGRAVESTONEDOJI,CDLHAMMER,CDLHANGINGMAN,CDLHARAMI,CDLHARAMICROSS,CDLHIGHWAVE,CDLHIKKAKE,CDLHIKKAKEMOD,CDLHOMINGPIGEON,CDLIDENTICAL3CROWS,CDLINNECK,CDLINVERTEDHAMMER,CDLKICKING,CDLKICKINGBYLENGTH,CDLLADDERBOTTOM,CDLLONGLEGGEDDOJI,CDLLONGLINE,CDLMARUBOZU,CDLMATCHINGLOW,CDLMATHOLD,CDLMORNINGDOJISTAR,CDLMORNINGSTAR,CDLONNECK,CDLPIERCING,CDLRICKSHAWMAN,CDLRISEFALL3METHODS,CDLSEPARATINGLINES,CDLSHOOTINGSTAR,CDLSHORTLINE,CDLSPINNINGTOP,CDLSTALLEDPATTERN,CDLSTICKSANDWICH,CDLTAKURI,CDLTASUKIGAP,CDLTHRUSTING,CDLTRISTAR,CDLUNIQUE3RIVER,CDLUPSIDEGAP2CROWS,CDLXSIDEGAP3METHODS,MKTCP,MWTRV,AVBLS,TOUTV,TRFUS,CPTRA,TRVOU,MWNTD,MKPRU,HRATE,DIFF,MIREV,daily_return
88,2017/9/24,0.577899992,0.524500012,0.545400023,0.568799973,3122841,0.568799973,0.584442854,0.705576193,0.564450854,0.801073505,0.633756471,-0.167317034,-0.431200027,0.129068284,0.963712762,0.447439624,33.30263046,35.48735487,6.321778616,1,0.117606327,20.67621879,0.05339998,0.506228292,0.953201169,0.700743567,0.702200025,0.704650015,6.900000095,0.604330003,0.627329868,0.834808755,0.722829896,22.17821599,15.67933261,20.11195503,-0.198800001,-21.42857143,0.438201457,-51.96792993,-60.41304344,-83.28894864,-91.2658872,-33.39473908,28.33646725,26.18261728,0.42983064,0.002899945,-0.047800004,-0.082300007,14.62046518,0.240018935,-24.69411838,-12.64014896,-0.12640149,0.87359851,87.35985104,37.27360698,33.20557053,33.30263046,-1.449357313,39.08994413,-85.7971152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62626656253,122349.3201,0.630479657,1314508.08,376490.1323,40.28476732,179361986,49957,3776.3869,9105159.409,1.1034E+12,7983281.907,-0.013009804
89,2017/9/25,0.585399985,0.551100016,0.568799973,0.561399996,3111743,0.561399996,0.571885714,0.688357146,0.562416949,0.783302471,0.622624703,-0.160677768,-0.438600004,0.121736635,0.931830417,0.444883875,32.96387977,36.91204414,7.590970634,1,0.111655873,19.88882676,0.03429997,0.492284996,0.948644341,0.686823659,0.636299998,0.68720001,6.900000095,0.598070002,0.614443538,0.805006671,0.702766884,22.5088754,15.4031124,20.17170228,-0.170453848,-21.42857143,-0.215742939,100,18.39039293,-56.6473492,-78.42298095,-34.07224045,26.80744781,25.60645664,0.399128451,-0.016600013,-0.005699992,-0.062600017,14.77990407,0.230374718,-21.99109813,-10.03205373,-0.100320537,0.899679463,89.96794627,35.39419355,32.65336002,32.96387977,-1.475376277,40.76474158,-86.50610195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100,0,0,0,0,0,0,0,0,0,61417012141,88682.0169,0.656781524,1119276.97,309852.6464,37.89792486,138592392.4,44381,3703.04065,7953301.894,1.1034E+12,6815446.316,0.124688267
90,2017/9/26,0.64380002,0.556900024,0.561399996,0.631399989,6093032,0.631399989,0.574000001,0.675061907,0.608405642,0.772040201,0.623974747,-0.148065454,-0.368600011,0.098445862,0.87195363,0.478170184,39.25810576,36.99964187,11.31516614,1,0.109887596,17.40380071,0.086899996,0.489111371,0.93760226,0.682379235,0.625150025,0.63955,6.900000095,0.598879999,0.606093142,0.776777087,0.68889441,21.99318073,14.86775013,20.20340316,-0.145610896,-14.28571429,0.805523547,100,143.3827369,19.75087351,11.78180199,-21.48378849,15.28914992,24.15612126,0.370619276,0.085999966,0.065499961,0.008099973,17.74915999,0.272319416,-19.45059518,1.299530402,0.012995304,1.012995304,101.2995304,59.52547364,42.67351016,39.25810576,-1.499021911,50.95642017,-53.2691589,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65395652604,170637.5903,0.916413568,1995684.921,581016.2888,29.74920225,284073950.9,56222,3942.555,6856294.736,1.1034E+12,6522957.248,0.280487814
91,2017/9/27,0.823700011,0.629199982,0.631399989,0.808499992,11634404,0.808499992,0.608485716,0.666761906,0.741801875,0.7747432,0.652363252,-0.122379948,-0.191500008,0.095408735,0.857579376,0.475944437,51.63178324,36.29414779,16.27660657,1,0.115931341,14.33906521,0.194500029,0.509040753,0.924816049,0.688038047,0.676950008,0.66930002,6.900000095,0.609239995,0.608748195,0.750848753,0.687950108,21.23701496,14.61432067,20.10922584,-0.113639743,92.85714286,0.910539724,100,164.7771103,204.0252174,223.7645373,3.263566475,11.40686006,21.25441935,0.344146471,0.239700019,0.230499983,0.103599966,26.72766902,0.432768019,-15.5240657,14.69711473,0.146971147,1.146971147,114.6971147,81.44428704,59.57942965,51.63178324,-1.517083203,65.75195261,-4.922286193,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64867502636,223021.2847,0.962231109,2093406.991,586880.8741,27.8104181,175299977.8,70603,3910.307383,7569349.388,1.1034E+12,7065925.442,-0.11614096
92,2017/9/28,0.843500018,0.697899997,0.808499992,0.714600027,8597897,0.714600027,0.629728573,0.660690478,0.72366731,0.770284677,0.661938142,-0.108346534,-0.285399973,0.088917317,0.838525112,0.482855844,46.25191403,35.33199754,23.32124105,1,0.118050532,16.51980521,0.145600021,0.516002722,0.903298715,0.68928838,0.676950008,0.684000015,6.900000095,0.61577,0.617896212,0.727948753,0.682047744,20.70390121,14.44476104,20.09868503,-0.083516027,100,-0.644917251,49.05064299,82.6190099,155.380764,161.5757384,-7.496171942,13.77342247,19.37787751,0.31956458,0.15320003,0.169200003,0.065300047,25.56853707,0.421656025,-11.7709826,10.05699207,0.100569921,1.100569921,110.0569921,59.93330024,50.76053783,46.25191403,-1.531747543,54.45797131,-40.40752013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69723276430,181594.1632,0.848984286,2168984.579,603060.9775,32.2733117,357673848.7,64731,4202.554983,8063002.609,1.1034E+12,8033183.851,0.017912088
93,2017/9/29,0.75849998,0.706099987,0.714600027,0.727400005,4603840,0.727400005,0.651071429,0.656404765,0.726155773,0.767105741,0.6720092,-0.095096542,-0.272599995,0.088040142,0.832485048,0.480324481,47.06166845,34.43627131,30.32059649,1,0.113361208,15.58443875,0.052399993,0.52452031,0.876359785,0.691586339,0.676950008,0.684000015,6.900000095,0.626850003,0.630652059,0.708155836,0.678122583,20.20886702,14.2836794,20.11937682,-0.074456414,28.57142857,0.244274427,-100,42.4561566,97.47833915,108.0139247,-5.876663107,13.77342247,18.73673097,0.296738539,0.096000016,0.158600032,0.110800028,24.72256315,0.391537738,-10.60144765,17.9695154,0.179695154,1.179695154,117.9695154,61.65881642,51.84023831,47.06166845,-1.54295501,54.54501819,-36.39498783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69723184108,155487.745,0.843941966,2302851.101,564964.1604,35.73450203,275531143.2,70585,4201.98905,9708513.346,1.1034E+12,9528010.171,-0.025982921
94,2017/9/30,0.728500009,0.663100004,0.727400005,0.708500028,3774630,0.708500028,0.67437143,0.654666671,0.714385276,0.762761676,0.677623174,-0.085138502,-0.291499972,0.086917104,0.82850088,0.480832462,45.96060389,33.78681486,37.49139682,1,0.109935408,15.5166413,0.065400004,0.530458721,0.845882215,0.69260427,0.676950008,0.684000015,6.900000095,0.640990007,0.644053079,0.691585419,0.674295488,19.23689245,13.92712676,19.58299714,-0.061273078,28.57142857,-0.288990458,-100,-14.49676261,54.17473011,63.47501926,-8.078792211,6.601223109,20.73843017,0.318542912,-0.099999964,0.147100031,0.141400039,23.66992476,0.363570757,-8.828044164,24.93388152,0.249338815,1.249338815,124.9338815,57.11861428,50.04005268,45.96060389,-1.551267676,57.09741905,-42.31974547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69592424013,183209.6806,0.832814012,1960682.747,483654.0347,36.71849534,289284083.4,64970,4193.574667,9269710.483,1.1034E+12,9047637.343,-0.075652803
95,2017/10/1,0.718999982,0.633099973,0.708500028,0.654900014,3348450,0.654900014,0.686671436,0.650852385,0.674728435,0.754766978,0.674127303,-0.080639676,-0.345099986,0.071841407,0.794535199,0.507169571,42.89549805,33.41328101,44.66198763,1,0.108218594,16.52444515,0.085900009,0.52970364,0.813025546,0.690436301,0.676950008,0.684000015,6.900000095,0.649890006,0.654572661,0.678046669,0.668325381,17.99000574,13.44817302,18.88564809,-0.048246793,28.57142857,-0.623981465,-100,-118.6788435,19.33744214,32.94460198,-14.2090039,1.780478512,21.54426341,0.325789877,-0.059700012,0.023500025,0.088999987,22.32535249,0.337601417,-7.051166466,15.72715715,0.157271571,1.157271571,115.7271571,45.29513719,45.1045462,42.89549805,-1.55786447,52.28028706,-59.12225716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71952969918,88666.7123,0.786213399,1660940.92,439786.0827,37.23138467,222088521.7,47963,4335.368317,7569349.388,1.1034E+12,7690943.394,-0.036799519
96,2017/10/2,0.66900003,0.605700016,0.654900014,0.630800009,2841163,0.630800009,0.696585723,0.639985717,0.645442818,0.745578978,0.667461565,-0.078117414,-0.369199991,0.068887598,0.777760913,0.502210522,41.55364247,33.08617033,49.18697897,1,0.105010124,16.64713415,0.063300014,0.526554589,0.784639654,0.686132861,0.676950008,0.684000015,6.900000095,0.655170006,0.660630716,0.666768753,0.662058715,16.88742842,12.8651021,18.38046843,-0.029399997,28.57142857,-0.380726706,-100,-114.4598735,-17.71404537,0.636099079,-16.89271507,2.553923194,22.48209437,0.329919129,-0.096599996,-0.177699983,0.0528,21.36234116,0.31348703,-4.383479435,9.134947904,0.091349479,1.091349479,109.1349479,40.57467171,42.98640535,41.55364247,-1.56321634,52.50870575,-66.67711772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72380860563,90441.70544,0.912847292,1439109.255,519159.3227,37.34457211,171779832.3,54545,4360.722967,7130546.525,1.1034E+12,7369621.814,-0.047558704
97,2017/10/3,0.6347,0.582899988,0.630800009,0.600799978,2556541,0.600799978,0.692214293,0.63396667,0.615680924,0.734848918,0.657205935,-0.077642983,-0.399200022,0.068182863,0.770332396,0.497600944,39.88119875,33.26991338,52.85408657,1,0.101209401,16.84577317,0.051800013,0.520486562,0.759516893,0.683333518,0.676950008,0.684000015,6.900000095,0.660710001,0.661580277,0.657768336,0.655295702,16.11946869,12.23962678,18.28766337,-0.017210897,28.57142857,-0.579151037,-95.03625282,-108.7744171,-54.90114539,-27.82912369,-20.2376025,6.135992215,23.27068766,0.329153505,-0.10770005,-0.113800049,0.055399954,20.58001213,0.291095099,-2.602116133,10.15767362,0.101576736,1.101576736,110.1576736,34.91310876,40.36461828,39.88119875,-1.567864689,50.14938808,-76.08151598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72823312135,246481.9978,1.001502393,2028711.649,791715.1236,30.56630855,250398347.6,67362,4386.88375,8380132.04,1.12359E+12,8729898.663,0.007656538
