,Date,High,Low,Open,Close,Volume,Adj Close,ma7,ma21,ema,26ema,12ema,MACD,momentum,20sd,upper_band,lower_band,RSI,HT_DCPERIOD,HT_DCPHASE,HT_TRENDMODE,ATR,NATR,TRANGE,DEMA,HT_TRENDLINE,KAMA,MIDPOINT,MIDPRICE,SAR,SMA10,T3,TRIMA,WMA,ADX14,ADX20,ADXR,APO,AROONOSC,BOP,CCI3,CCI5,CCI10,CCI14,CMO,DX,MINUS_DI,MINUS_DM,MOM3,MOM5,MOM10,PLUS_DI,PLUS_DM,PPO,ROC,ROCP,ROCR,ROCR100,RSI5,RSI10,RSI14,TRIX,ULTOSC,WILLR,CDL2CROWS,CDL3BLACKCROWS,CDL3INSIDE,CDL3LINESTRIKE,CDL3OUTSIDE,CDL3STARSINSOUTH ,CDL3WHITESOLDIERS,CDLABANDONEDBABY,CDLADVANCEBLOCK,CDLBELTHOLD,CDLBREAKAWAY,CDLCLOSINGMARUBOZU,CDLCONCEALBABYSWALL,CDLCOUNTERATTACK,CDLDARKCLOUDCOVER,CDLDOJI,CDLDOJISTAR,CDLDRAGONFLYDOJI,CDLENGULFING,CDLEVENINGDOJISTAR,CDLEVENINGSTAR,CDLGAPSIDESIDEWHITE,CDLGRAVESTONEDOJI,CDLHAMMER,CDLHANGINGMAN,CDLHARAMI,CDLHARAMICROSS,CDLHIGHWAVE,CDLHIKKAKE,CDLHIKKAKEMOD,CDLHOMINGPIGEON,CDLIDENTICAL3CROWS,CDLINNECK,CDLINVERTEDHAMMER,CDLKICKING,CDLKICKINGBYLENGTH,CDLLADDERBOTTOM,CDLLONGLEGGEDDOJI,CDLLONGLINE,CDLMARUBOZU,CDLMATCHINGLOW,CDLMATHOLD,CDLMORNINGDOJISTAR,CDLMORNINGSTAR,CDLONNECK,CDLPIERCING,CDLRICKSHAWMAN,CDLRISEFALL3METHODS,CDLSEPARATINGLINES,CDLSHOOTINGSTAR,CDLSHORTLINE,CDLSPINNINGTOP,CDLSTALLEDPATTERN,CDLSTICKSANDWICH,CDLTAKURI,CDLTASUKIGAP,CDLTHRUSTING,CDLTRISTAR,CDLUNIQUE3RIVER,CDLUPSIDEGAP2CROWS,CDLXSIDEGAP3METHODS,MKTCP,MWTRV,AVBLS,TOUTV,TRFUS,CPTRA,TRVOU,MWNTD,MKPRU,HRATE,DIFF,MIREV,daily_return
88,2015/11/3,1.059999943,0.842499971,0.987800002,1.059999943,6124,1.059999943,1.022199997,0.714971425,1.034649252,0.794168308,0.893794897,0.099626589,0.059999943,0.245125471,1.205222367,0.224720482,62.80738937,25.04489933,143.614248,1,0.12891529,12.16182051,0.217499971,0.80328836,0.684790277,0.798887814,0.779999986,0.875500023,0.150000006,0.931139994,0.875648704,0.616537083,0.761906448,34.90075972,33.59320742,39.38486726,0.172608969,57.14285714,0.331953794,18.69826537,-30.70667964,31.25899448,56.32533133,25.61477875,16.73989277,26.6513169,0.480414238,0.192399919,-0.060000062,0.503899932,37.36809837,0.673593975,24.77317028,90.61318505,0.90613185,1.90613185,190.613185,66.70662931,65.61695481,62.80738937,-1.039102331,53.95578634,-30.13994452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5039912343,261794.5233,0.59834969,2318357.456,10535.29884,7.79940591,70310557.42,65543,340.69,448726.0267,62253982450,1245221.95,-0.246226351
89,2015/11/4,1.059999943,0.798699975,1.059999943,0.799000025,5189,0.799000025,0.994914285,0.729209521,0.877549767,0.794526565,0.879211066,0.084684502,-0.200999975,0.242432219,1.214073958,0.244345084,50.01507993,26.00498426,149.542111,1,0.138371339,17.3180644,0.261299968,0.803579172,0.694925272,0.798889425,0.848049998,0.875500023,0.150000006,0.949039996,0.897334084,0.631400416,0.769165375,33.27610655,32.20826812,37.51785246,0.185817306,57.14285714,-0.998851704,-100,-148.9591596,-44.2119575,16.00321336,0.030159869,12.15561546,25.31601506,0.489898932,-0.190999985,-0.340999961,0.17900002,32.32230796,0.62548012,26.42988029,28.87097075,0.288709708,1.288709708,128.8709708,39.01756719,48.67438023,50.01507993,-0.97576817,43.55584658,-58.23466059,0,0,0,0,0,0,0,0,0,-100,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6052054800,465177.3803,0.6632265,2921589.028,13459.59505,9.148264027,171565483.3,73181,409,488956.636,62253982450,1628638,0.096871047
90,2015/11/5,1,0.799000025,0.799000025,0.876399994,1078,0.876399994,0.960114283,0.744276187,0.876783252,0.80059678,0.878778594,0.078181814,-0.123600006,0.23891615,1.222108487,0.266443887,53.06784782,26.03939766,159.5703754,1,0.142844813,16.29904312,0.200999975,0.813479538,0.704115441,0.800171705,0.848049998,0.920000017,0.150000006,0.966079998,0.908765281,0.648864582,0.781006665,31.76750005,30.89257578,35.78419586,0.203228203,57.14285714,0.385074521,-45.51442385,-78.90946407,-67.36262098,10.5647006,6.135695637,12.15561546,22.76909502,0.454906151,-0.111400008,0.00879997,0.170400023,29.07051918,0.580802969,28.52972486,24.13598167,0.241359817,1.241359817,124.1359817,47.1495811,52.69871568,53.06784782,-0.913113653,39.46911124,-55.1904787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6468809829,433507.4801,0.773893503,11707414.86,20331.08837,8.11701844,240097870.2,88728,437.05,479672.6492,62253982450,1713673.05,0.129507074
91,2015/11/6,0.989899993,0.790000021,0.876399994,0.989899993,3121,0.989899993,0.938671427,0.766414283,0.952194413,0.814631049,0.895874197,0.081243149,-0.010100007,0.237837597,1.242089477,0.29073909,57.19620107,25.76534875,169.0725788,1,0.146920181,14.84192165,0.199899971,0.836578278,0.71517969,0.805802716,0.848049998,0.925000012,0.150000006,0.982069999,0.917199546,0.668878749,0.799686019,30.29237707,29.6079053,34.13723483,0.219030126,50,0.567783968,100,-22.79647961,-56.95471685,15.53372723,14.39240214,11.11577841,20.9922781,0.431412858,-0.07009995,-0.000100017,0.15990001,26.24282781,0.539317042,30.1129652,19.26506179,0.192650618,1.192650618,119.2650618,57.53049616,58.05706859,57.19620107,-0.848059369,48.6592944,-42.18072558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5921920000,461937.4229,0.768430584,3874950.612,14260.12029,7.943969661,144544320.1,81843,400,461104.6757,62253982450,1504000,-0.060511149
92,2015/11/7,0.930000007,0.864700019,0.989899993,0.930000007,1195,0.930000007,0.94758571,0.785795236,0.937398142,0.823183561,0.901124323,0.077940762,-0.069999993,0.230994899,1.247785034,0.323805437,54.47285959,25.78635597,178.3457068,1,0.145368738,15.63104697,0.125199974,0.84995115,0.726541921,0.808547203,0.879999995,0.963750005,0.150000006,0.976069999,0.923033261,0.690376665,0.813662364,28.92262003,28.38746835,32.34643526,0.226158334,42.85714286,-0.917304701,2.922784404,-25.67892846,-65.71025115,-6.913479454,8.945719184,11.11577841,19.69981667,0.400597653,0.130999982,-0.057799995,-0.060000002,24.62709832,0.500794396,30.60743464,-6.060606243,-0.060606062,0.939393938,93.93939376,50.93100671,54.44071761,54.47285959,-0.783237545,55.0054803,-54.48504918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5751218426,216322.8929,0.670328883,2867169.802,12629.43475,8.126609488,104939430.6,73094,388.38,423968.7287,62253982450,1342629.66,0.075268809
93,2015/11/8,1,0.894500017,0.930000007,1,3067,1,0.949014281,0.809366665,0.979132714,0.83629053,0.916335968,0.080045438,0,0.223780817,1.256928299,0.36180503,57.04673241,25.6922685,186.8654614,1,0.14252097,14.25209697,0.105499983,0.870728236,0.740063844,0.813518481,0.922999978,0.980000019,0.150000006,0.964069998,0.929434618,0.713953748,0.83148817,28.14068919,27.4818921,31.12703172,0.225005771,35.71428571,0.663507149,100,142.5586069,-3.251745763,18.06393669,14.09346482,17.9755883,18.65739857,0.371983535,0.123600006,-0.059999943,-0.120000005,26.83490837,0.535023361,29.83294022,-10.71428609,-0.107142861,0.892857139,89.28571391,57.97336514,57.84984633,57.04673241,-0.716972922,55.47024657,-47.22222498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,5737988774,254141.5021,0.544952945,2299911.468,10554.66087,9.833427767,41397271.71,67839,387.38,504429.9473,62253982450,1589032.76,-0.001999974
94,2015/11/9,1.080000043,0.889999986,1,0.998000026,8903,0.998000026,0.950471427,0.833080952,0.991710922,0.848277017,0.92889967,0.080622653,-0.001999974,0.207465809,1.24801257,0.418149334,56.94767117,25.20570707,198.9698144,1,0.145912333,14.62047388,0.190000057,0.889199223,0.759545121,0.818274113,0.969500005,1.020600021,0.150000006,0.949870002,0.936884014,0.739435414,0.84840043,27.92285241,26.89311912,31.05605432,0.206518592,28.57142857,-0.010526177,76.68846639,107.878507,80.32472211,24.63874526,13.89534234,25.09097427,16.92084627,0.345413283,0.008100033,0.199000001,-0.14199996,28.25620978,0.576807449,26.70361808,-12.45613699,-0.12456137,0.87543863,87.54386301,57.67773034,57.71275114,56.94767117,-0.6500812,56.65658034,-53.53788263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,5652375858,303165.5796,0.564960357,2106559.626,9225.355809,9.974709649,34651606.97,57162,381.51,433252.7154,62253982450,1344441.24,-0.09819644
95,2015/11/10,1,0.899999976,0.998000026,0.899999976,7531,0.899999976,0.927614289,0.854985713,0.930570291,0.852110719,0.924453563,0.072342845,-0.100000024,0.180824655,1.216635023,0.493336402,52.16733717,24.46261925,212.0057162,1,0.142632882,15.84809847,0.100000024,0.893579346,0.782634578,0.819921518,0.969500005,1.065000027,0.150000006,0.953109998,0.94134654,0.765788331,0.858209676,27.7205754,26.3337848,31.30192114,0.175108335,21.42857143,-0.980000262,-100,-26.20602027,-20.17915732,-46.17742496,4.334674336,25.09097427,16.07291161,0.320740906,-0.030000031,0.023599982,0.032399952,26.84023925,0.535606917,22.26566662,3.734434247,0.037344342,1.037344342,103.7344342,43.9500218,51.11726271,52.16733717,-0.586247958,48.55368503,-80.00000867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,5613617130,206679.6992,0.60688115,2906015.996,10692.01809,9.180250663,49017974.28,66078,378.8,454915.3512,62253982450,1402696.4,-0.166666645
96,2015/11/11,0.939999998,0.730000019,0.899999976,0.75,9539,0.75,0.920614285,0.870699999,0.810190097,0.844542628,0.897614551,0.053071923,-0.25,0.172388676,1.215477352,0.525922646,45.82647512,23.67224993,221.9355987,1,0.147444818,19.65930905,0.209999979,0.878708762,0.801711438,0.819304643,0.944999993,1.035000026,0.150000006,0.929109997,0.936680207,0.791363331,0.857694837,25.95898711,25.08079574,31.14760081,0.133954489,-85.71428571,-0.714285674,-100,-150.4750898,-175.9228925,-160.3489485,-8.347049751,3.058339388,22.67722253,0.467830798,-0.25,-0.239899993,-0.24000001,24.10807574,0.49734928,16.84742057,-24.24242497,-0.24242425,0.75757575,75.75757503,30.19851294,42.79902309,45.82647512,-0.53019419,48.82683866,-96.72131468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5241134019,221077.3617,0.55996807,2580989.226,9676.743588,8.268487697,78245096.35,65767,353.58,442536.7022,62253982450,1273595.16,0.173333327
97,2015/11/12,0.899999976,0.75,0.75,0.879999995,2032,0.879999995,0.921128571,0.883604759,0.856730029,0.847170493,0.894904619,0.047734126,-0.120000005,0.155258957,1.194122673,0.573086845,51.34603791,22.90955187,237.6167765,1,0.147627329,16.77583295,0.149999976,0.881392428,0.826017193,0.820330629,0.944999993,1.035000026,0.150000006,0.918329996,0.92841955,0.815646665,0.86530903,24.32322656,23.89045613,31.22501708,0.121257051,-85.71428571,0.866666773,-24.61539181,-64.81482307,-101.0622591,-111.2739304,2.692075811,3.058339388,21.03047856,0.434414312,-0.118000031,-0.050000012,-0.107800007,22.357428,0.461824332,14.99157537,-10.91314098,-0.10913141,0.89086859,89.08685902,47.86902896,50.54820004,51.34603791,-0.477101587,53.21889211,-75.40984055,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4595034503,272654.5037,0.564048616,3860070.457,9385.128959,8.066210366,92221766.36,71669,309.9,579380.21,65848255180,1380604.5,0.022727251
