,Date,High,Low,Open,Close,Volume,Adj Close,ma7,ma21,ema,26ema,12ema,MACD,momentum,20sd,upper_band,lower_band,RSI,HT_DCPERIOD,HT_DCPHASE,HT_TRENDMODE,ATR,NATR,TRANGE,DEMA,HT_TRENDLINE,KAMA,MIDPOINT,MIDPRICE,SAR,SMA10,T3,TRIMA,WMA,ADX14,ADX20,ADXR,APO,AROONOSC,BOP,CCI3,CCI5,CCI10,CCI14,CMO,DX,MINUS_DI,MINUS_DM,MOM3,MOM5,MOM10,PLUS_DI,PLUS_DM,PPO,ROC,ROCP,ROCR,ROCR100,RSI5,RSI10,RSI14,TRIX,ULTOSC,WILLR,CDL2CROWS,CDL3BLACKCROWS,CDL3INSIDE,CDL3LINESTRIKE,CDL3OUTSIDE,CDL3STARSINSOUTH ,CDL3WHITESOLDIERS,CDLABANDONEDBABY,CDLADVANCEBLOCK,CDLBELTHOLD,CDLBREAKAWAY,CDLCLOSINGMARUBOZU,CDLCONCEALBABYSWALL,CDLCOUNTERATTACK,CDLDARKCLOUDCOVER,CDLDOJI,CDLDOJISTAR,CDLDRAGONFLYDOJI,CDLENGULFING,CDLEVENINGDOJISTAR,CDLEVENINGSTAR,CDLGAPSIDESIDEWHITE,CDLGRAVESTONEDOJI,CDLHAMMER,CDLHANGINGMAN,CDLHARAMI,CDLHARAMICROSS,CDLHIGHWAVE,CDLHIKKAKE,CDLHIKKAKEMOD,CDLHOMINGPIGEON,CDLIDENTICAL3CROWS,CDLINNECK,CDLINVERTEDHAMMER,CDLKICKING,CDLKICKINGBYLENGTH,CDLLADDERBOTTOM,CDLLONGLEGGEDDOJI,CDLLONGLINE,CDLMARUBOZU,CDLMATCHINGLOW,CDLMATHOLD,CDLMORNINGDOJISTAR,CDLMORNINGSTAR,CDLONNECK,CDLPIERCING,CDLRICKSHAWMAN,CDLRISEFALL3METHODS,CDLSEPARATINGLINES,CDLSHOOTINGSTAR,CDLSHORTLINE,CDLSPINNINGTOP,CDLSTALLEDPATTERN,CDLSTICKSANDWICH,CDLTAKURI,CDLTASUKIGAP,CDLTHRUSTING,CDLTRISTAR,CDLUNIQUE3RIVER,CDLUPSIDEGAP2CROWS,CDLXSIDEGAP3METHODS,MKTCP,MWTRV,AVBLS,TOUTV,TRFUS,CPTRA,TRVOU,MWNTD,MKPRU,HRATE,DIFF,MIREV,daily_return
88,2014/1/20,24.89999962,24.28000069,24.89999962,24.28000069,519,24.28000069,24.45285743,24.93095244,24.45881391,24.47523865,24.62207288,0.14683423,23.28000069,1.225964876,27.38288219,22.47902268,49.58141264,20.84508657,-29.76406238,0,2.716235099,11.18712941,0.619998932,25.58930548,24.89606278,28.19328436,24.67500019,25.94999981,3,24.7920002,24.70082996,24.68720828,24.66470973,21.53249712,19.58460516,19.89327259,-0.000256257,-14.28571429,-1,58.82372741,59.06699842,-42.61155702,-47.47961806,-0.837174718,18.90892593,12.56436792,4.777888799,0.280000687,-0.239999771,0.220001221,18.42392041,7.006117897,-0.001037188,0.914385809,0.009143858,1.009143858,100.9143858,43.34667603,48.41891554,49.58141264,0.672828031,47.36978559,-72.20743942,0,0,0,0,0,0,0,0,0,-100,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10220612013,74375.01851,0.171692421,802067.7525,11239.76976,64.87582856,5465133.505,17772,831.72,16279.47165,1789546951,3815931.36,0.049835216
89,2014/1/21,25.5,23.5,24.28000069,25.48999977,4143,25.48999977,24.59142876,25.02333341,25.14627115,24.55047999,24.75560014,0.205120148,24.48999977,1.229421935,27.48217728,22.56448954,52.89084681,20.79587048,-3.615319768,0,2.665075449,10.45537651,2,25.65428157,24.96387667,28.113237,25.17500019,24.90500069,3,24.70600014,24.69862749,24.79266663,24.76591402,20.77994252,19.13126609,19.62565389,0.062243706,-7.142857143,0.604999542,100,146.1257711,43.34722565,19.79655519,5.781693615,10.99673274,13.98140989,5.216611714,0.549999237,1.479999542,-0.86000061,17.43633537,6.505680904,0.25172443,-3.263759385,-0.032637594,0.967362406,96.73624062,62.02563469,54.28046476,52.89084681,0.652148082,57.30156156,-39.2265368,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10111586132,88745.57377,0.204550111,615535.6446,13580.23927,49.6381337,6338548.322,20518,822.56,15300.92417,1789546951,3550168.96,-0.097685359
90,2014/1/22,25.48999977,22.38999939,25.48999977,23,1259,23,24.37428583,24.93904768,23.71542372,24.43552515,24.48550774,0.049982585,22,1.251720641,27.44248896,22.4356064,46.17407997,20.74019152,11.07969693,1,2.696141515,11.72235441,3.100000381,25.39953422,24.96514291,28.00635015,24.67500019,25.00500011,3,24.4670002,24.64645808,24.85354164,24.69036563,19.34746363,18.43092903,19.0103117,-0.062243449,21.42857143,-0.803225634,-100,-166.6666667,-211.9552852,-178.8497066,-7.651840055,0.725238066,15.77385727,5.953997202,-1.899999619,-1,-2.38999939,16.00432474,6.040989411,-0.251355878,-9.413152608,-0.094131526,0.905868474,90.58684739,33.56168013,43.08545682,46.17407997,0.629396607,51.31579197,-88.33651164,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9998543354,69508.80119,0.166476681,494014.6155,11329.31174,58.35855737,6932278.286,20487,813.05,16902.18368,1789546951,3872557.15,-0.030434816
91,2014/1/23,23.72999954,22.29999924,23,22.29999924,2821,22.29999924,24.12999998,24.73428572,22.7718074,24.27720483,24.14927559,-0.127929244,21.29999924,1.364814735,27.46391519,22.00465625,44.46454688,20.57490768,6.557593519,1,2.605702857,11.68476658,1.430000305,25.07920045,24.87319052,27.91859276,24.32499981,24.96000004,3,24.1960001,24.50610317,24.87941665,24.55718279,17.97136834,17.74380727,18.41595438,-0.398589672,-85.71428571,-0.489510919,-89.15046869,-126.4367816,-218.0629962,-238.2759852,-11.07090624,0.082129559,15.40223817,5.61871184,-1.98000145,-2.640001297,-2.710000992,15.37695935,5.609490167,-1.609687871,-10.8356696,-0.108356696,0.891643304,89.1643304,28.90102947,40.47777739,44.46454688,0.604226381,50.3040233,-100,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10001792366,58410.58135,0.176345145,550964.5397,13038.23015,57.15597022,6127909.383,20511,813.02,15834.67734,1789546951,3630947.32,-0.056053814
92,2014/1/24,22.88999939,20.5,22.29999924,21.04999924,6188,21.04999924,23.7085713,24.52285712,21.62393529,24.03796618,23.67246376,-0.365502419,20.04999924,1.586466956,27.69579103,21.34992321,41.50912792,20.35085655,-10.21815042,1,2.590295467,12.30544209,2.38999939,24.63121137,24.71957144,27.87523038,23.69999981,24.06000042,3,23.84899998,24.24800368,24.86216666,24.33410748,17.74430838,17.04256067,18.64281834,-0.62717939,-92.85714286,-0.523012686,-100,-124.5234901,-208.1747405,-250.7219955,-16.98174415,14.79252891,19.35072826,7.017374517,-4.440000534,-3.850000381,-3.470001221,14.36353598,5.208812298,-2.546523649,-14.1517176,-0.141517176,0.858482824,85.8482824,22.06230321,36.13809678,41.50912792,0.575715369,48.28326972,-92.27529252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9711394518,70730.67555,0.164273549,693140.3092,13409.02461,57.13719529,11907988.68,21013,789.1,21375.12675,2193847870,3879215.6,0.057482234
93,2014/1/25,22.35000038,20.29000092,21.04999924,22.26000023,2899,22.26000023,23.32571411,24.43761907,22.04797858,23.90616992,23.45516164,-0.451008277,21.26000023,1.625516825,27.68865272,21.18658542,45.29929622,20.23335873,-18.77827757,1,2.552417181,11.46638434,2.059999466,24.3753492,24.57266668,27.81172375,23.2699995,23.37000084,3,23.62299995,23.94830183,24.82725,24.19126879,17.64400223,16.42339087,18.89419603,-0.752499947,-100,0.587379275,-40.57370578,-75.79097892,-133.1684097,-170.4777429,-9.401407569,16.34002229,18.822865,6.726132565,-0.739999771,-2.020000458,-2.260000229,13.53550081,4.836754277,-3.068297442,-9.216966504,-0.092169665,0.907830335,90.7830335,39.41021002,42.74077018,45.29929622,0.546259014,50.09521553,-68.01949087,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9922504800,66788.46359,0.170958445,534461.2894,9986.129803,56.58055661,6997182.459,18054,806,16903.79922,2193847870,3132922,0.003593887
94,2014/1/26,24,22,22.26000023,22.34000015,7269,22.34000015,22.9599999,24.26285716,22.24265963,23.7900798,23.28359832,-0.506481487,21.34000015,1.3261219,26.91510097,21.61061336,45.55051534,20.28844483,-22.97723774,1,2.512958811,11.24869648,2,24.15262132,24.41442858,27.78553963,23.2699995,23.30000019,3,23.45599995,23.65440711,24.77941668,24.05941934,16.44393119,15.76035269,18.57415337,-0.887628213,-92.85714286,0.039999962,100,29.60367006,-43.76102844,-71.2990108,-8.898969317,0.843007703,17.75281933,6.245694524,0.040000916,-3.149999619,-1.670000076,17.45600621,6.141271447,-3.626160128,-6.955435487,-0.069554355,0.930445645,93.04456451,40.50466101,43.17238735,45.55051534,0.51637967,42.78641013,-65.94684833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,10181507196,54747.17135,0.156734014,349814.5246,9361.645562,64.2296043,8807290.497,15602,826.77,17449.08306,2193847870,3316174.47,-0.069829877
95,2014/1/27,23.5,20.78000069,22.34000015,20.78000069,9919,20.78000069,22.4599999,23.8857143,21.26755367,23.56697299,22.89842941,-0.668543587,19.78000069,1.499428,26.8845703,20.8868583,41.54382459,20.87339959,-29.99160221,1,2.527747418,12.16432789,2.719999313,23.75536371,24.1729524,27.72951761,23.13500023,22.89500046,3,23.13400002,23.33196845,24.69450003,23.82632261,16.00877266,15.09774678,18.61656747,-1.045833331,-85.71428571,-0.57352936,-46.42857346,-45.34021022,-89.04398933,-117.2362468,-16.91235081,10.35171167,19.83576577,7.0195728,-0.26999855,-2.219999313,-3.219999313,16.11431687,5.702609201,-4.299417594,-13.41666381,-0.134166638,0.865833362,86.58333619,28.12251509,37.11128563,41.54382459,0.484481566,37.8823181,-90.59501234,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9571727025,94721.04531,0.184722071,789929.9136,10035.00738,51.63712837,11258300.04,19268,777,17558.13983,2193847870,3136749,0.101058634
96,2014/1/28,23,20.29000092,20.78000069,22.87999916,1833,22.87999916,22.08714267,23.87999998,22.34251733,23.51605689,22.89559399,-0.620462901,21.87999916,1.498683364,26.87736671,20.88263325,48.15499919,21.99333343,-25.72763979,1,2.540765394,11.10474426,2.709999084,23.65755384,23.99804762,27.68956446,23.13500023,22.89500046,3,22.92799988,23.06792793,24.58795837,23.73204299,15.85972188,14.57898445,18.85930461,-0.996923117,-50,0.774907448,-19.44957057,21.95065556,-56.30464748,-78.49295213,-3.690001617,13.92206184,19.70209036,7.008174514,0.619998932,0.579999924,-2.060001373,14.88662765,5.295279972,-4.122596512,-8.259828906,-0.082598289,0.917401711,91.74017109,52.53711424,48.02540379,48.15499919,0.453826918,41.03294059,-50.28793281,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9860844595,91883.77317,0.190327294,752428.6624,11064.43223,50.71372722,23185647.73,22057,800.2,18103.42368,2193847870,3331232.6,-0.051573358
97,2014/1/29,22.87999916,20.62999916,22.87999916,21.70000076,2131,21.70000076,21.9014285,23.72761908,21.91417295,23.38146284,22.71165655,-0.669806292,20.70000076,1.562140597,26.85190027,20.60333789,45.07047962,23.54450468,-17.99745102,1,2.519996438,11.6128864,2.25,23.42137472,23.93676192,27.60895269,23.13500023,22.89500046,3,22.60799999,22.83898155,24.46758338,23.56513982,15.72131759,14.08616024,18.96592463,-1.042820527,-50,-0.524443732,-39.13059904,-45.86817909,-65.45538466,-83.05585431,-9.859040767,13.92206184,18.44557772,6.50759062,-0.63999939,0.650001526,-3.199998856,13.93722403,4.917045688,-4.338549889,-12.85140122,-0.128514012,0.871485988,87.14859878,42.41730644,43.33047204,45.07047962,0.422997745,44.19236356,-72.93665844,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9905916930,58026.11306,0.178687657,482434.9297,11041.84508,51.54350176,6658715.053,20128,803.6,17230.96953,2193847870,3184666.8,-0.045161356
