,Date,High,Low,Open,Close,Volume,Adj Close,ma7,ma21,ema,26ema,12ema,MACD,momentum,20sd,upper_band,lower_band,RSI,HT_DCPERIOD,HT_DCPHASE,HT_TRENDMODE,ATR,NATR,TRANGE,DEMA,HT_TRENDLINE,KAMA,MIDPOINT,MIDPRICE,SAR,SMA10,T3,TRIMA,WMA,ADX14,ADX20,ADXR,APO,AROONOSC,BOP,CCI3,CCI5,CCI10,CCI14,CMO,DX,MINUS_DI,MINUS_DM,MOM3,MOM5,MOM10,PLUS_DI,PLUS_DM,PPO,ROC,ROCP,ROCR,ROCR100,RSI5,RSI10,RSI14,TRIX,ULTOSC,WILLR,CDL2CROWS,CDL3BLACKCROWS,CDL3INSIDE,CDL3LINESTRIKE,CDL3OUTSIDE,CDL3STARSINSOUTH ,CDL3WHITESOLDIERS,CDLABANDONEDBABY,CDLADVANCEBLOCK,CDLBELTHOLD,CDLBREAKAWAY,CDLCLOSINGMARUBOZU,CDLCONCEALBABYSWALL,CDLCOUNTERATTACK,CDLDARKCLOUDCOVER,CDLDOJI,CDLDOJISTAR,CDLDRAGONFLYDOJI,CDLENGULFING,CDLEVENINGDOJISTAR,CDLEVENINGSTAR,CDLGAPSIDESIDEWHITE,CDLGRAVESTONEDOJI,CDLHAMMER,CDLHANGINGMAN,CDLHARAMI,CDLHARAMICROSS,CDLHIGHWAVE,CDLHIKKAKE,CDLHIKKAKEMOD,CDLHOMINGPIGEON,CDLIDENTICAL3CROWS,CDLINNECK,CDLINVERTEDHAMMER,CDLKICKING,CDLKICKINGBYLENGTH,CDLLADDERBOTTOM,CDLLONGLEGGEDDOJI,CDLLONGLINE,CDLMARUBOZU,CDLMATCHINGLOW,CDLMATHOLD,CDLMORNINGDOJISTAR,CDLMORNINGSTAR,CDLONNECK,CDLPIERCING,CDLRICKSHAWMAN,CDLRISEFALL3METHODS,CDLSEPARATINGLINES,CDLSHOOTINGSTAR,CDLSHORTLINE,CDLSPINNINGTOP,CDLSTALLEDPATTERN,CDLSTICKSANDWICH,CDLTAKURI,CDLTASUKIGAP,CDLTHRUSTING,CDLTRISTAR,CDLUNIQUE3RIVER,CDLUPSIDEGAP2CROWS,CDLXSIDEGAP3METHODS,MKTCP,MWTRV,AVBLS,TOUTV,TRFUS,CPTRA,TRVOU,MWNTD,MKPRU,HRATE,DIFF,MIREV,daily_return
88,2015/4/18,0.008271,0.008271,0.008271,0.008271,0,0.008271,0.008271,0.008490714,0.008270936,0.008743102,0.008402109,-0.000340992,-0.991729,0.000519464,0.009529642,0.007451787,43.67273799,16.78613227,-8.963505391,1,0.000750784,9.077301219,0,0.007869445,0.008567643,0.010382315,0.0085975,0.0088675,0.0175,0.0083077,0.008406409,0.008659421,0.008521667,25.41636234,28.61671198,25.70363245,-8.04E-05,0,0,0,0,-44.63838227,-55.88881059,-12.65452402,29.0310536,21.01321977,0.002207072,0,0,-0.000924,11.55757491,0.001213922,-0.942447382,-10.0489352,-0.100489352,0.899510648,89.9510648,38.66214047,42.72641796,43.67273799,-0.786611075,57.05451931,-81.98388138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,3127275396,181217.3735,0.394062365,888595.0446,3093.226001,7.385296764,1085148.339,48609,222.32,326913.124,49446390688,742104.16,-0.56897597
89,2015/4/19,0.0115,0.003565,0.0115,0.003565,1,0.003565,0.007598715,0.008262857,0.005133645,0.008359162,0.007657938,-0.000701223,-0.996435,0.001214195,0.010691247,0.005834467,20.16676015,16.46928645,-10.67920282,1,0.001263942,35.45419273,0.007935,0.007270765,0.008467682,0.009449014,0.00638,0.0075325,0.0175,0.0077462,0.008200592,0.008615046,0.008188819,28.70091556,30.20474024,26.53580159,-0.000331622,0,-1,-100,-166.6666667,-333.3333333,-353.3590029,-59.66647969,71.40010746,38.19208383,0.006755425,-0.004706,-0.004706,-0.005615,6.372746842,0.001127213,-3.986776532,-61.1655786,-0.611655786,0.388344214,38.8344214,2.557226394,12.51343413,20.16676015,-0.792201445,9.92603881,-100,0,0,0,0,0,0,0,0,0,-100,0,-100,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3175869114,190303.7388,0.334934915,824017.0177,2723.283617,8.922834799,1282638.288,44221,225.72,334287.1042,49446390688,770156.64,0
90,2015/4/20,0.003565,0.003565,0.003565,0.003565,0,0.003565,0.006926429,0.008064143,0.004087882,0.008003716,0.007028255,-0.00097546,-0.996435,0.001609793,0.011283729,0.004844557,20.16676015,16.16038545,-23.64054675,1,0.00117366,32.92175039,0,0.006731417,0.008252144,0.008650515,0.00638,0.0075325,0.0175,0.0073027,0.007827066,0.008554225,0.007870047,31.75085784,31.71336708,27.30070873,-0.000610981,-7.142857143,0,-100,-137.6204725,-247.9152764,-333.4260011,-59.66647969,71.40010746,38.19208383,0.006272894,-0.004706,-0.004706,-0.004435,6.372746842,0.001046698,-7.516771818,-55.43750331,-0.554375033,0.445624967,44.56249669,2.557226394,12.51343413,20.16676015,-0.806676169,9.010040076,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,3161465083,233647.033,0.365684084,1314222.74,3586.385975,8.126467497,1314495.733,60689,224.63,408026.9066,49446390688,935583.95,0.122019719
91,2015/4/21,0.0114,0.003565,0.004,0.004,10,0.004,0.006316286,0.007878429,0.004029294,0.007706894,0.00656237,-0.001144525,-0.996,0.001850046,0.01157852,0.004178338,24.52184028,16.0931523,-29.56384925,1,0.00164947,41.23675715,0.007835,0.006300556,0.007951421,0.008141692,0.00638,0.0075325,0.0175,0.0069027,0.007358945,0.008477392,0.007593265,30.93872691,30.74812057,26.67113288,-0.000859955,-14.28571429,0,53.10089887,-9.850600074,-58.75502629,-93.72932271,-50.95631944,20.38102481,25.23056166,0.00582483,-0.004271,-0.004271,-0.004,38.14770112,0.008806934,-10.82311683,-50,-0.5,0.5,50,14.13803417,19.04605857,24.52184028,-0.827336381,7.855583845,-94.5179549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,3165877506,292960.7791,0.359495451,1167048.984,3780.292557,7.868562261,1214171.137,58365,224.88,376310.7059,47610564514,897496.08,1.068499936
92,2015/4/22,0.008274,0.0082,0.0082,0.008274,0,0.008274,0.006316714,0.007898619,0.006859098,0.007748935,0.006825698,-0.000923237,-0.991726,0.001836366,0.01157135,0.004225888,52.14483932,16.48668634,-22.78148448,1,0.001836937,22.20131415,0.004274,0.006447615,0.007761179,0.008143711,0.0063725,0.0075325,0.0175,0.006903,0.007018052,0.0083994,0.007604542,30.18460533,29.83113638,26.08652673,-0.000811122,-14.28571429,1,88.85902248,82.81352384,46.60336058,35.03799374,4.289678632,20.38102481,21.03648788,0.005408771,0.004709,3.00E-06,3.00E-06,31.80641252,0.008177867,-10.24203137,0.036268769,0.000362688,1.000362688,100.0362688,65.09157906,55.40148215,52.14483932,-0.842403458,24.53596337,-40.65532245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,3342138811,296360.1089,0.401969476,1492167.795,3826.954736,7.498772095,3082931.511,62175,237.34,338442.9619,47610564514,852287.94,-0.030698638
93,2015/4/23,0.008496,0.008,0.008274,0.00802,0,0.00802,0.006280857,0.007855524,0.007633032,0.007769028,0.007009436,-0.000759592,-0.99198,0.001802031,0.011459585,0.004251463,50.95142655,17.32078158,-11.51050476,1,0.001741156,21.71017027,0.000496,0.006552196,0.007642649,0.008142281,0.0059195,0.0075325,0.0175,0.0068779,0.006840345,0.008319688,0.007603019,29.58269161,29.02152738,26.0370915,-0.00080257,-14.28571429,-0.512097804,46.92959369,81.44575578,43.12556608,35.30602909,1.9028531,21.75781322,20.60834942,0.00502243,0.004455,-0.000251001,-0.000251001,32.07000804,0.007815734,-10.14287248,-3.034708458,-0.030347085,0.969652915,96.96529154,62.34322321,53.80590159,50.95142655,-0.853101311,23.79652382,-43.85633736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,3316759348,254304.5527,0.382458949,1043100.654,3479.175377,7.606258054,2574137.143,58441,235.48,326609.2919,47610564514,815702.72,0.000124718
94,2015/4/24,0.008191,0.00802,0.00802,0.008021,0,0.008021,0.006245143,0.007791381,0.007891677,0.007787705,0.007165062,-0.000622644,-0.991979,0.001785939,0.011363258,0.004219504,50.95618667,18.50709557,-0.888871014,1,0.001629002,20.30920885,0.000171,0.006649952,0.00763731,0.008141451,0.0059195,0.0075325,0.0175,0.0068529,0.006800789,0.008235167,0.007604099,29.02377172,28.25239883,25.99118735,-0.00081075,-14.28571429,0.005849355,-100,51.72491913,39.36428599,30.70593895,1.912373343,21.75781322,20.45379397,0.004663685,0.004021,0.004456,-0.000250001,31.82949414,0.007257467,-10.26265722,-3.022615114,-0.030226151,0.969773849,96.97738489,62.35104815,53.81172203,50.95618667,-0.85986173,23.86605376,-43.84373194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,3253364933,295258.4547,0.497293242,1300018.225,3747.830831,6.299154186,1785947.069,58422,230.93,284008.0799,47610564514,696484.88,-0.029921452
95,2015/4/25,0.008082,0.00778,0.008021,0.007781,0,0.007781,0.006175143,0.007741,0.007817892,0.007787208,0.007259821,-0.000527387,-0.992219,0.001769085,0.01127917,0.00420283,49.70959749,19.99214313,9.798648781,1,0.001534216,19.71746266,0.000302,0.00671124,0.007661411,0.008137745,0.0059195,0.0075325,0.0175,0.0068039,0.006848727,0.0081469,0.007590725,28.32021778,27.42769257,25.85628361,-0.000853237,-14.28571429,-0.794703171,-100,16.53428505,31.24244037,19.97762013,-0.580805012,19.17401647,21.28375388,0.004570564,-0.000493,0.004216,-0.00049,31.38186911,0.006739077,-10.79820957,-5.924319319,-0.059243193,0.940756807,94.07568068,58.69306849,52.06283419,49.70959749,-0.863686124,23.96251989,-46.86830612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,3221419770,219164.5791,0.349916978,1061784.872,22851.76354,8.956656414,1441666.346,54225,228.6,364477.0359,47610564514,902741.4,0.035213952
96,2015/4/26,0.008056,0.00778,0.007781,0.008055,0,0.008055,0.006816571,0.007706333,0.007975964,0.007807056,0.007382156,-0.0004249,-0.991945,0.001740414,0.011187162,0.004225505,51.17806751,21.27950088,19.47115889,1,0.001444343,17.93101479,0.000276,0.006803541,0.007684108,0.008136943,0.0059195,0.0075325,0.0175,0.0067823,0.006954837,0.008061988,0.007597112,27.66691768,26.64422164,25.73101586,-0.000877199,-14.28571429,0.992753562,-9.999959943,-59.79499811,38.25883273,27.26942208,2.356135016,19.17401647,20.99318431,0.004244095,3.50E-05,0.004054999,-0.000216001,30.95343829,0.006257714,-11.09308809,-2.611542792,-0.026115428,0.973884572,97.38845721,61.88424664,53.96088791,51.17806751,-0.864140431,32.67519227,-43.41525314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,3078777334,164033.0215,0.333681459,986913.3041,2904.382772,8.707820522,2205193.133,48874,218.42,352643.3659,47610564514,816453.96,-0.044196085
97,2015/4/27,0.008055,0.007698,0.008055,0.007699,0,0.007699,0.007407143,0.007639619,0.007791321,0.007799048,0.007430902,-0.000368146,-0.992301,0.001702384,0.011044387,0.004234852,49.16917488,21.62163609,28.42028814,1,0.001366676,17.7513411,0.000357,0.006845072,0.007700485,0.008133857,0.0059195,0.0075325,0.0175,0.0067251,0.007078234,0.00797865,0.007582456,26.98929925,25.86513199,25.57920448,-0.000919058,-14.28571429,-0.997198204,-91.70302599,-96.5199456,33.23422483,19.53887215,-1.66165023,18.18025954,21.0300622,0.004022946,-0.000322,-0.000575,-0.000572,30.37577723,0.005810735,-11.63098091,-6.915731356,-0.069157314,0.930842686,93.08426864,54.98528461,51.04325183,49.16917488,-0.862494644,31.99818859,-47.90169858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,3138324234,312513.1573,0.41040359,1387033.685,3382.523405,7.051199923,2518529.62,61238,222.59,326609.2919,47610564514,771274.35,-0.008312771
